AUPR	AUC	Time	Params
0.457138	0.910353	0.124379	{'k': 9, 'kr': 1, 'T': 0.8}
0.367181	0.929728	0.082859	{'k': 9, 'kr': 1, 'T': 0.8}
0.389159	0.779974	0.082480	{'k': 9, 'kr': 1, 'T': 0.8}
0.220539	0.676253	0.091960	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.327673	0.864102	0.084420	{'k': 9, 'kr': 1, 'T': 0.8}
0.352944	0.708150	0.081923	{'k': 5, 'kr': 1, 'T': 0.8}
0.316388	0.652018	0.089853	{'k': 9, 'kr': 1, 'T': 0.8}
0.501064	0.874472	0.078768	{'k': 7, 'kr': 1, 'T': 0.8}
0.273364	0.703608	0.089776	{'k': 9, 'kr': 1, 'T': 0.8}
0.382817	0.777614	0.082729	{'k': 7, 'kr': 1, 'T': 0.9}
0.100004	0.673565	0.087826	{'k': 9, 'kr': 1, 'T': 0.8}
0.462235	0.811282	0.089625	{'k': 9, 'kr': 1, 'T': 0.8}
0.349336	0.689472	0.089075	{'k': 9, 'kr': 1, 'T': 0.8}
0.303645	0.701895	0.083474	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.327547	0.674095	0.084805	{'k': 9, 'kr': 1, 'T': 0.8}
0.222757	0.814472	0.087811	{'k': 9, 'kr': 1, 'T': 0.8}
0.379492	0.862279	0.086035	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.514829	0.934059	0.085688	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.388509	0.739603	0.083277	{'k': 7, 'kr': 1, 'T': 0.9}
0.618047	0.934423	0.079628	{'k': 7, 'kr': 1, 'T': 0.7000000000000001}
