AUPR	AUC	Time	Params
0.507663	0.873429	0.059469	{'k': 5, 'kr': 1, 'T': 0.6}
0.557773	0.896270	0.060163	{'k': 5, 'kr': 1, 'T': 0.6}
0.522435	0.900362	0.054887	{'k': 3, 'kr': 1, 'T': 0.4}
0.519823	0.842676	0.058059	{'k': 3, 'kr': 1, 'T': 0.30000000000000004}
0.768972	0.929055	0.119236	{'k': 3, 'kr': 1, 'T': 0.7000000000000001}
0.687117	0.954421	0.061980	{'k': 5, 'kr': 1, 'T': 0.4}
0.339181	0.886861	0.060266	{'k': 5, 'kr': 1, 'T': 0.6}
0.558848	0.865072	0.062941	{'k': 5, 'kr': 1, 'T': 0.30000000000000004}
0.462647	0.907506	0.057866	{'k': 3, 'kr': 1, 'T': 0.5}
0.628610	0.947667	0.058279	{'k': 3, 'kr': 1, 'T': 0.8}
0.293816	0.856358	0.060076	{'k': 3, 'kr': 1, 'T': 0.4}
0.481856	0.909414	0.061391	{'k': 3, 'kr': 1, 'T': 0.8}
0.764001	0.935448	0.060972	{'k': 5, 'kr': 1, 'T': 0.4}
0.551193	0.863751	0.062939	{'k': 3, 'kr': 1, 'T': 0.1}
0.612505	0.905407	0.061235	{'k': 3, 'kr': 1, 'T': 0.30000000000000004}
0.641516	0.897446	0.063243	{'k': 3, 'kr': 1, 'T': 0.4}
0.754709	0.930650	0.061190	{'k': 5, 'kr': 1, 'T': 0.30000000000000004}
0.411031	0.819051	0.059553	{'k': 3, 'kr': 1, 'T': 0.30000000000000004}
0.645062	0.928453	0.055685	{'k': 3, 'kr': 1, 'T': 0.7000000000000001}
0.827793	0.977812	0.058830	{'k': 3, 'kr': 1, 'T': 0.30000000000000004}
