AUPR	AUC	Time	Params
0.222582	0.824992	9.923340	{'k': 9, 'kr': 1, 'T': 0.9}
0.325861	0.859696	9.979768	{'k': 9, 'kr': 1, 'T': 0.9}
0.292871	0.845251	9.952141	{'k': 9, 'kr': 1, 'T': 0.9}
0.187181	0.783060	9.879627	{'k': 9, 'kr': 1, 'T': 0.8}
0.267007	0.816533	9.736383	{'k': 7, 'kr': 1, 'T': 0.9}
0.252849	0.792704	9.465101	{'k': 5, 'kr': 1, 'T': 0.8}
0.194905	0.810740	9.855735	{'k': 9, 'kr': 1, 'T': 0.8}
0.276821	0.835661	9.970832	{'k': 9, 'kr': 1, 'T': 0.9}
0.269788	0.828960	9.360729	{'k': 7, 'kr': 1, 'T': 0.8}
0.225976	0.771062	10.092592	{'k': 9, 'kr': 1, 'T': 0.9}
0.263371	0.778822	9.334155	{'k': 5, 'kr': 1, 'T': 0.9}
0.281606	0.839577	9.458143	{'k': 7, 'kr': 1, 'T': 0.8}
0.203076	0.785097	9.688389	{'k': 9, 'kr': 1, 'T': 0.9}
0.270131	0.817867	9.368342	{'k': 5, 'kr': 1, 'T': 0.8}
0.292675	0.827845	9.467138	{'k': 7, 'kr': 1, 'T': 0.9}
0.184307	0.798653	9.877330	{'k': 9, 'kr': 1, 'T': 0.9}
0.241869	0.795608	9.342107	{'k': 5, 'kr': 1, 'T': 1.0}
0.271398	0.858069	9.796293	{'k': 9, 'kr': 1, 'T': 0.8}
