AUPR	AUC	Time	Params
0.186106	0.745710	4.472154	{'k': 5, 'kr': 1, 'T': 1.0}
0.177231	0.708496	4.465143	{'k': 5, 'kr': 1, 'T': 0.9}
0.206392	0.725324	4.459416	{'k': 9, 'kr': 1, 'T': 0.9}
0.214687	0.781295	4.001160	{'k': 5, 'kr': 1, 'T': 1.0}
0.230839	0.811356	4.427469	{'k': 5, 'kr': 1, 'T': 1.0}
0.260983	0.804514	4.395181	{'k': 5, 'kr': 1, 'T': 0.9}
0.240031	0.704692	4.369409	{'k': 3, 'kr': 1, 'T': 0.9}
0.222411	0.723022	4.363366	{'k': 3, 'kr': 1, 'T': 0.9}
0.243274	0.733370	4.609436	{'k': 9, 'kr': 1, 'T': 0.8}
0.107415	0.674813	4.404978	{'k': 3, 'kr': 1, 'T': 0.9}
0.181544	0.685801	4.381241	{'k': 3, 'kr': 1, 'T': 0.9}
0.152126	0.678660	4.392689	{'k': 3, 'kr': 1, 'T': 0.9}
0.135326	0.712965	4.510311	{'k': 7, 'kr': 1, 'T': 0.9}
0.206250	0.721217	4.541232	{'k': 7, 'kr': 1, 'T': 0.8}
0.181138	0.738161	4.676226	{'k': 9, 'kr': 1, 'T': 0.8}
0.191777	0.782862	4.688478	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.266260	0.809357	4.680326	{'k': 9, 'kr': 1, 'T': 0.8}
0.240541	0.748896	4.523203	{'k': 7, 'kr': 1, 'T': 0.9}
