AUPR	AUC	Time	Params
0.062461	0.676433	0.041219	{'k': 7, 'kr': 1, 'T': 1.0}
0.120621	0.644444	0.040406	{'k': 3, 'kr': 1, 'T': 0.1}
0.069784	0.628019	0.036820	{'k': 9, 'kr': 1, 'T': 0.4}
0.156913	0.613152	0.041176	{'k': 5, 'kr': 1, 'T': 1.0}
0.105837	0.650278	0.041650	{'k': 2, 'kr': 1, 'T': 0.7000000000000001}
0.144759	0.673274	0.037775	{'k': 7, 'kr': 1, 'T': 0.9}
0.343486	0.702304	0.035085	{'k': 2, 'kr': 1, 'T': 1.0}
0.215283	0.739288	0.040615	{'k': 9, 'kr': 1, 'T': 0.1}
0.304235	0.715226	0.040089	{'k': 5, 'kr': 1, 'T': 1.0}
0.318740	0.754775	0.040395	{'k': 9, 'kr': 1, 'T': 0.5}
0.249305	0.785253	0.042768	{'k': 5, 'kr': 1, 'T': 0.2}
0.202381	0.919622	0.039145	{'k': 3, 'kr': 1, 'T': 0.30000000000000004}
0.238270	0.784675	0.038114	{'k': 9, 'kr': 1, 'T': 0.6}
0.065106	0.654378	0.035141	{'k': 9, 'kr': 1, 'T': 0.1}
0.043944	0.631206	0.034792	{'k': 3, 'kr': 1, 'T': 0.2}
0.065183	0.362500	0.037544	{'k': 7, 'kr': 1, 'T': 0.1}
0.135829	0.592181	0.036487	{'k': 7, 'kr': 1, 'T': 1.0}
0.129535	0.552196	0.039838	{'k': 5, 'kr': 1, 'T': 0.6}
