AUPR	AUC	Time	Params
0.348010	0.773486	0.611339	{'k': 2, 'n_sf': 50}
0.248226	0.709922	0.374971	{'k': 2, 'n_sf': 10}
0.274534	0.827266	0.621340	{'k': 2, 'n_sf': 50}
0.171123	0.743338	0.324132	{'k': 1, 'n_sf': 10}
0.571385	0.936175	0.383973	{'k': 2, 'n_sf': 10}
0.128918	0.786204	0.435827	{'k': 2, 'n_sf': 20}
0.530398	0.830091	0.441790	{'k': 2, 'n_sf': 20}
0.308580	0.805970	0.328123	{'k': 1, 'n_sf': 10}
0.173260	0.605599	0.432842	{'k': 2, 'n_sf': 20}
0.257263	0.800381	0.611391	{'k': 2, 'n_sf': 50}
0.409776	0.857971	0.429823	{'k': 2, 'n_sf': 20}
0.237004	0.783750	0.549529	{'k': 1, 'n_sf': 50}
0.307835	0.816541	0.605351	{'k': 2, 'n_sf': 50}
0.369153	0.735758	0.427860	{'k': 2, 'n_sf': 20}
0.218841	0.748151	0.429850	{'k': 2, 'n_sf': 20}
0.273065	0.582047	0.457781	{'k': 3, 'n_sf': 20}
0.311866	0.878073	0.610351	{'k': 2, 'n_sf': 50}
0.129962	0.868925	0.617321	{'k': 2, 'n_sf': 50}
0.245979	0.727232	0.459770	{'k': 3, 'n_sf': 20}
0.263901	0.827735	0.614355	{'k': 2, 'n_sf': 50}
