AUPR	AUC	Time	Params
0.470083	0.896525	0.190496	{'k': 2, 'n_sf': 50}
0.361355	0.911995	0.190490	{'k': 2, 'n_sf': 50}
0.443531	0.870031	0.143615	{'k': 2, 'n_sf': 20}
0.186335	0.715468	0.196476	{'k': 2, 'n_sf': 50}
0.311278	0.844982	0.157586	{'k': 3, 'n_sf': 20}
0.330795	0.789134	0.188496	{'k': 2, 'n_sf': 50}
0.226836	0.601002	0.190523	{'k': 2, 'n_sf': 50}
0.384790	0.808787	0.201487	{'k': 3, 'n_sf': 50}
0.294588	0.675990	0.188528	{'k': 2, 'n_sf': 50}
0.421236	0.884350	0.130683	{'k': 2, 'n_sf': 10}
0.155165	0.844461	0.188495	{'k': 2, 'n_sf': 50}
0.376958	0.876226	0.201489	{'k': 3, 'n_sf': 50}
0.249805	0.736666	0.190496	{'k': 2, 'n_sf': 50}
0.264487	0.812069	0.298203	{'k': 2, 'n_sf': 50}
0.288528	0.592718	0.145610	{'k': 2, 'n_sf': 20}
0.218944	0.802050	0.129658	{'k': 2, 'n_sf': 10}
0.473447	0.873550	0.202458	{'k': 2, 'n_sf': 50}
0.631314	0.934787	0.213427	{'k': 2, 'n_sf': 50}
0.382120	0.780461	0.191491	{'k': 2, 'n_sf': 50}
0.525529	0.926660	0.190490	{'k': 2, 'n_sf': 50}
