AUPR	AUC	Time	Params
0.504321	0.887720	0.058869	{'k': 1, 'n_sf': 10}
0.421122	0.743430	0.060837	{'k': 1, 'n_sf': 20}
0.455914	0.822101	0.061834	{'k': 1, 'n_sf': 20}
0.582535	0.737329	0.058875	{'k': 1, 'n_sf': 10}
0.604748	0.848182	0.060830	{'k': 1, 'n_sf': 20}
0.568156	0.908404	0.058847	{'k': 1, 'n_sf': 10}
0.218763	0.671820	0.059865	{'k': 1, 'n_sf': 10}
0.284693	0.771241	0.069815	{'k': 1, 'n_sf': 50}
0.623710	0.808676	0.059866	{'k': 1, 'n_sf': 20}
0.609438	0.781551	0.058843	{'k': 1, 'n_sf': 10}
0.390864	0.615867	0.061836	{'k': 1, 'n_sf': 20}
0.502989	0.814937	0.061862	{'k': 1, 'n_sf': 20}
0.809047	0.902186	0.058870	{'k': 1, 'n_sf': 10}
0.488566	0.819266	0.066821	{'k': 2, 'n_sf': 20}
0.562620	0.782560	0.060832	{'k': 1, 'n_sf': 20}
0.656965	0.844691	0.060836	{'k': 1, 'n_sf': 20}
0.515327	0.815163	0.061834	{'k': 1, 'n_sf': 10}
0.344795	0.637581	0.056847	{'k': 1, 'n_sf': 10}
0.435211	0.821617	0.069822	{'k': 1, 'n_sf': 50}
0.756586	0.884295	0.062832	{'k': 1, 'n_sf': 20}
