AUPR	AUC	Time	Params
0.774295	0.962673	0.034906	{'k': 3, 'n_sf': 10}
0.455203	0.591720	0.034939	{'k': 3, 'n_sf': 20}
0.437037	0.423684	0.033910	{'k': 2, 'n_sf': 20}
0.324834	0.593718	0.033909	{'k': 3, 'n_sf': 10}
0.152016	0.324167	0.031914	{'k': 1, 'n_sf': 10}
0.216057	0.303330	0.029952	{'k': 3, 'n_sf': 50}
0.090278	0.253606	0.026928	{'k': 1, 'n_sf': 50}
0.277778	0.260817	0.033909	{'k': 1, 'n_sf': 10}
0.458333	0.971154	0.035877	{'k': 2, 'n_sf': 20}
0.618519	0.603883	0.034905	{'k': 2, 'n_sf': 10}
0.709945	0.850230	0.033902	{'k': 2, 'n_sf': 20}
0.221065	0.376926	0.032912	{'k': 1, 'n_sf': 10}
0.609819	0.955760	0.028923	{'k': 2, 'n_sf': 50}
0.330717	0.589572	0.034880	{'k': 2, 'n_sf': 10}
0.453263	0.443318	0.033909	{'k': 2, 'n_sf': 20}
0.215206	0.535885	0.033909	{'k': 2, 'n_sf': 20}
0.759259	0.751202	0.033910	{'k': 2, 'n_sf': 20}
0.111111	0.256010	0.033942	{'k': 2, 'n_sf': 20}
0.103156	0.184184	0.032912	{'k': 1, 'n_sf': 20}
0.351852	0.339683	0.034907	{'k': 2, 'n_sf': 20}
