AUPR	AUC	Time	Params
0.357080	0.755760	0.359040	{'k': 2}
0.292711	0.720934	0.368041	{'k': 2}
0.254186	0.783360	0.366342	{'k': 2}
0.259943	0.740295	0.374975	{'k': 2}
0.595986	0.930401	0.355587	{'k': 1}
0.141703	0.766318	0.419217	{'k': 2}
0.545904	0.804019	0.346074	{'k': 2}
0.557169	0.829000	0.382026	{'k': 3}
0.273194	0.616389	0.364021	{'k': 2}
0.365486	0.770681	0.372999	{'k': 1}
0.583626	0.868399	0.367019	{'k': 3}
0.297214	0.794287	0.373034	{'k': 3}
0.391257	0.789162	0.363061	{'k': 2}
0.451296	0.723641	0.373000	{'k': 3}
0.324136	0.762699	0.368603	{'k': 2}
0.233909	0.564650	0.383921	{'k': 2}
0.420682	0.882403	0.368876	{'k': 2}
0.137956	0.891547	0.372012	{'k': 3}
0.351613	0.733724	0.403954	{'k': 5}
0.229582	0.809917	0.391981	{'k': 3}
