AUPR	AUC	Time	Params
0.316837	0.829029	0.032911	{'k': 5}
0.390532	0.880096	0.030946	{'k': 3}
0.196520	0.718335	0.032930	{'k': 5}
0.444091	0.774237	0.033884	{'k': 5}
0.357221	0.927514	0.034879	{'k': 5}
0.339909	0.847586	0.029952	{'k': 1}
0.182570	0.821032	0.031909	{'k': 2}
0.394812	0.900616	0.034890	{'k': 7}
0.440491	0.902590	0.030944	{'k': 2}
0.273398	0.774538	0.027951	{'k': 1}
0.308961	0.838358	0.032942	{'k': 5}
0.382628	0.875958	0.033934	{'k': 5}
0.254408	0.835909	0.029894	{'k': 2}
0.352260	0.822144	0.035907	{'k': 7}
0.210397	0.744555	0.028949	{'k': 1}
0.331619	0.838213	0.030954	{'k': 2}
0.230450	0.878678	0.027924	{'k': 3}
0.424858	0.907896	0.032911	{'k': 5}
0.260529	0.884875	0.032939	{'k': 5}
0.420320	0.775693	0.035879	{'k': 2}
