AUPR	AUC	Time	Params
0.260534	0.523630	0.003959	{'k': 1}
0.332461	0.882222	0.003989	{'k': 2}
0.571079	0.894056	0.003948	{'k': 2}
0.636680	0.869196	0.003016	{'k': 1}
0.456486	0.749178	0.005023	{'k': 3}
0.244444	0.719512	0.003024	{'k': 1}
0.244541	0.492585	0.003988	{'k': 2}
0.793407	0.833333	0.003989	{'k': 2}
0.579121	0.818548	0.003028	{'k': 2}
0.482693	0.858304	0.003024	{'k': 2}
0.501435	0.885427	0.003997	{'k': 2}
0.445076	0.961149	0.002991	{'k': 2}
0.290608	0.748311	0.003989	{'k': 1}
0.290177	0.674922	0.004016	{'k': 3}
0.441705	0.705943	0.002993	{'k': 2}
0.385628	0.916000	0.003978	{'k': 2}
0.223543	0.718333	0.003019	{'k': 3}
0.884259	0.981557	0.004022	{'k': 1}
0.392667	0.595003	0.003013	{'k': 1}
0.265422	0.577684	0.002991	{'k': 1}
