AUPR	AUC	Time	Params
0.666192	0.902554	0.055834	{'k': 2}
0.696537	0.875960	0.053888	{'k': 1}
0.816890	0.903806	0.057871	{'k': 2}
0.929330	0.968537	0.057871	{'k': 2}
0.781213	0.936933	0.057845	{'k': 2}
0.753792	0.888988	0.060414	{'k': 2}
0.773315	0.904827	0.057878	{'k': 2}
0.885473	0.917167	0.058848	{'k': 2}
0.795448	0.889912	0.058821	{'k': 2}
0.797955	0.934734	0.056443	{'k': 2}
0.874508	0.973626	0.077143	{'k': 2}
0.765327	0.878773	0.060843	{'k': 2}
0.758831	0.910732	0.054853	{'k': 1}
0.583684	0.771632	0.059446	{'k': 2}
0.714870	0.926614	0.059937	{'k': 2}
0.804271	0.884930	0.058874	{'k': 2}
0.798733	0.926565	0.056852	{'k': 1}
0.785379	0.906128	0.057871	{'k': 1}
0.809293	0.898075	0.055804	{'k': 2}
0.748051	0.903133	0.056880	{'k': 2}
