AUPR	AUC	Time	Params
0.383593	0.549315	0.103723	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.125, 'avg': True}
0.241788	0.763333	0.000000	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.5, 'avg': True}
0.643536	0.960690	0.000997	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.640069	0.944196	0.000998	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.5, 'avg': True}
0.338671	0.670611	0.000999	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.239149	0.696864	0.000999	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.395999	0.784605	0.000998	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.5, 'avg': True}
0.703216	0.845430	0.000998	{'alpha': 0.9, 'gamma': 1.0, 'sigma': 0.5, 'avg': True}
0.365075	0.806452	0.000997	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.351873	0.850174	0.000000	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.5, 'avg': True}
0.498803	0.814957	0.000998	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.25, 'avg': True}
0.508949	0.964527	0.000000	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 1.0, 'avg': True}
0.447895	0.868243	0.000997	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.125, 'avg': True}
0.504963	0.673354	0.000998	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.433927	0.804303	0.000999	{'alpha': 0.9, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.405795	0.920000	0.000998	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.25, 'avg': True}
0.206559	0.700000	0.000998	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.812436	0.975410	0.000999	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.343554	0.631821	0.000999	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.359574	0.680085	0.000997	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.125, 'avg': True}
