AUPR	AUC	Time	Params
0.744800	0.936156	0.004985	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.125, 'avg': True}
0.734262	0.923121	0.004985	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.794812	0.916216	0.006982	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.924164	0.974945	0.005982	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.827196	0.939132	0.004987	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.747917	0.915080	0.005987	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.730532	0.928038	0.005992	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.820853	0.936639	0.004989	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.830265	0.954270	0.005985	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.125, 'avg': True}
0.769928	0.943141	0.005986	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.912794	0.979546	0.006985	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.707758	0.897743	0.005984	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.749308	0.936270	0.007978	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.597480	0.822295	0.005983	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.752376	0.927274	0.006981	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.777656	0.933158	0.007977	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.826336	0.943859	0.005984	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.890599	0.947402	0.007007	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.03125, 'avg': True}
0.800176	0.918718	0.005984	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
0.799816	0.943420	0.005984	{'alpha': 1.0, 'gamma': 1.0, 'sigma': 0.0625, 'avg': True}
