AUPR	AUC	Time	Params
0.269223	0.568493	0.003983	{'k': 1}
0.354309	0.894444	0.004986	{'k': 2}
0.600281	0.975551	0.005977	{'k': 2}
0.726194	0.960491	0.005014	{'k': 1}
0.597113	0.788297	0.004987	{'k': 2}
0.238826	0.781069	0.004986	{'k': 1}
0.259495	0.476695	0.004986	{'k': 2}
0.804945	0.935484	0.004955	{'k': 2}
0.575875	0.884409	0.004980	{'k': 2}
0.425397	0.880952	0.004986	{'k': 2}
0.517732	0.945829	0.003987	{'k': 2}
0.423716	0.959459	0.004981	{'k': 2}
0.337093	0.923142	0.005970	{'k': 1}
0.339877	0.806897	0.004986	{'k': 3}
0.539535	0.909324	0.005985	{'k': 2}
0.431551	0.961600	0.004987	{'k': 2}
0.213096	0.654583	0.004998	{'k': 3}
0.816045	0.980020	0.004987	{'k': 1}
0.412361	0.577252	0.003957	{'k': 1}
0.242500	0.441737	0.004026	{'k': 1}
