AUPR	AUC	Time	Params
0.426750	0.702604	0.428807	{'k': 3}
0.737967	0.939393	0.425294	{'k': 2}
0.806767	0.946399	0.421904	{'k': 3}
0.727165	0.870380	0.440853	{'k': 3}
0.780373	0.929661	0.415920	{'k': 2}
0.786412	0.937789	0.425892	{'k': 3}
0.618637	0.827636	0.415887	{'k': 2}
0.767526	0.916620	0.419939	{'k': 2}
0.822745	0.977936	0.443923	{'k': 5}
0.849605	0.961978	0.432883	{'k': 3}
0.764531	0.928910	0.428262	{'k': 3}
0.825570	0.944464	0.437828	{'k': 3}
0.841638	0.980481	0.456751	{'k': 2}
0.742905	0.926830	0.440394	{'k': 3}
0.714315	0.902027	0.426225	{'k': 2}
0.602869	0.827806	0.418562	{'k': 2}
0.750228	0.935738	0.414922	{'k': 2}
0.846009	0.961827	0.441853	{'k': 3}
0.813932	0.934696	0.415888	{'k': 2}
0.725694	0.933380	0.416917	{'k': 3}
