AUPR	AUC	Time	Params
0.688832	0.955244	0.067850	{'k': 2}
0.716654	0.894077	0.067850	{'k': 2}
0.808853	0.893314	0.079788	{'k': 2}
0.926327	0.978603	0.066826	{'k': 2}
0.766234	0.906196	0.067852	{'k': 2}
0.760014	0.915638	0.066854	{'k': 2}
0.759320	0.903629	0.068389	{'k': 2}
0.886950	0.937497	0.072833	{'k': 2}
0.799694	0.926419	0.067857	{'k': 2}
0.816850	0.952504	0.068850	{'k': 2}
0.869808	0.958831	0.068838	{'k': 2}
0.762225	0.874586	0.071315	{'k': 2}
0.799090	0.946381	0.067819	{'k': 2}
0.588743	0.807027	0.068822	{'k': 2}
0.729669	0.906902	0.067823	{'k': 2}
0.823827	0.919917	0.067824	{'k': 2}
0.839602	0.957138	0.068118	{'k': 2}
0.813966	0.922870	0.068815	{'k': 2}
0.804429	0.911653	0.067424	{'k': 2}
0.728092	0.906429	0.079298	{'k': 2}
