AUPR	AUC	Time	Params
0.055617	0.686118	0.084799	{'k': 5}
0.071836	0.740642	0.076827	{'k': 1}
0.070672	0.714868	0.072838	{'k': 1}
0.080091	0.747364	0.076795	{'k': 2}
0.165353	0.792199	0.076797	{'k': 1}
0.074987	0.761802	0.075825	{'k': 2}
0.096689	0.775129	0.089790	{'k': 7}
0.149880	0.835016	0.079815	{'k': 3}
0.095660	0.781403	0.073806	{'k': 1}
0.111395	0.782895	0.075826	{'k': 1}
0.119240	0.760425	0.073828	{'k': 1}
0.160219	0.806457	0.074831	{'k': 1}
0.062603	0.724107	0.074805	{'k': 1}
0.094728	0.742403	0.088775	{'k': 7}
0.148394	0.838513	0.076821	{'k': 2}
0.044658	0.670295	0.075770	{'k': 2}
0.071182	0.697110	0.078817	{'k': 3}
0.121362	0.814346	0.075804	{'k': 2}
