AUPR	AUC	Time	Params
0.358171	0.885392	0.747774	{'num_factors': 100, 'lambda_d': 0.125, 'alpha': 0.25, 'beta': 0.03125}
0.446619	0.896527	0.648494	{'num_factors': 50, 'lambda_d': 0.0625, 'alpha': 0.0625, 'beta': 0.03125}
0.502044	0.929177	0.658531	{'num_factors': 50, 'lambda_d': 0.03125, 'alpha': 0.5, 'beta': 0.03125}
0.553590	0.914629	0.810707	{'num_factors': 100, 'lambda_d': 0.125, 'alpha': 0.0625, 'beta': 0.03125}
0.598649	0.927103	0.728331	{'num_factors': 100, 'lambda_d': 0.125, 'alpha': 0.0625, 'beta': 0.03125}
0.609296	0.953950	0.798108	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.03125, 'beta': 0.03125}
0.217257	0.924733	0.633058	{'num_factors': 50, 'lambda_d': 0.0625, 'alpha': 0.0625, 'beta': 0.03125}
0.405183	0.911701	0.734821	{'num_factors': 100, 'lambda_d': 0.125, 'alpha': 0.125, 'beta': 0.03125}
0.474761	0.950406	0.708729	{'num_factors': 100, 'lambda_d': 0.125, 'alpha': 0.03125, 'beta': 0.0625}
0.600574	0.952253	0.697221	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.03125, 'beta': 0.0625}
0.406709	0.889945	0.746444	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.25, 'beta': 0.0625}
0.439375	0.923580	0.628114	{'num_factors': 50, 'lambda_d': 0.0625, 'alpha': 0.125, 'beta': 0.03125}
0.771098	0.946884	0.730394	{'num_factors': 100, 'lambda_d': 0.25, 'alpha': 0.125, 'beta': 0.03125}
0.564930	0.896516	0.744658	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.5, 'beta': 0.25}
0.609567	0.897686	0.748176	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.5, 'beta': 0.03125}
0.680568	0.925989	0.592105	{'num_factors': 50, 'lambda_d': 0.0625, 'alpha': 0.5, 'beta': 0.03125}
0.531223	0.942254	0.782632	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.25, 'beta': 0.0625}
0.334685	0.839767	0.798819	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.25, 'beta': 0.03125}
0.504969	0.926181	0.594932	{'num_factors': 50, 'lambda_d': 0.125, 'alpha': 1.0, 'beta': 0.03125}
0.760371	0.985388	0.788913	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.125, 'beta': 0.0625}
