AUPR	AUC	Time	Params
0.867157	0.986755	0.259305	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 1.0, 'beta': 0.0625}
0.375797	0.886624	0.256391	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.03125, 'beta': 0.0625}
0.460966	0.795395	0.229986	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.25, 'beta': 0.0625}
0.463882	0.782506	0.244159	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.03125, 'beta': 0.03125}
0.170274	0.612222	0.256171	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.03125, 'beta': 0.03125}
0.278221	0.580116	0.281027	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.0625, 'beta': 0.125}
0.174428	0.677885	0.247524	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.03125, 'beta': 0.03125}
0.279024	0.471154	0.272990	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.03125, 'beta': 0.03125}
1.000000	1.000000	0.268449	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.0625, 'beta': 0.03125}
0.644390	0.860194	0.250682	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.03125, 'beta': 0.03125}
0.604798	0.905991	0.237923	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.03125, 'beta': 0.03125}
0.250081	0.676798	0.238456	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.25, 'beta': 0.03125}
0.699856	0.977880	0.238255	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.25, 'beta': 0.03125}
0.749846	0.931853	0.292833	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.03125, 'beta': 0.03125}
0.480577	0.797235	0.244044	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.125, 'beta': 0.03125}
0.301773	0.699301	0.233397	{'num_factors': 50, 'lambda_d': 0.03125, 'alpha': 1.0, 'beta': 0.0625}
0.785714	0.942308	0.190558	{'num_factors': 50, 'lambda_d': 0.03125, 'alpha': 0.03125, 'beta': 0.03125}
0.300588	0.706731	0.230511	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.03125, 'beta': 0.03125}
0.160865	0.625510	0.242500	{'num_factors': 100, 'lambda_d': 0.03125, 'alpha': 0.03125, 'beta': 0.0625}
0.381313	0.796825	0.251202	{'num_factors': 100, 'lambda_d': 0.0625, 'alpha': 0.0625, 'beta': 0.03125}
