AUPR	AUC	Time	Params
0.371497	0.722211	0.002992	{'k': 5, 'T': 0.8}
0.372765	0.740834	0.003990	{'k': 7, 'T': 0.7000000000000001}
0.278511	0.679036	0.003989	{'k': 7, 'T': 0.7000000000000001}
0.280773	0.683060	0.007978	{'k': 7, 'T': 0.7000000000000001}
0.680037	0.926032	0.003989	{'k': 9, 'T': 0.8}
0.130365	0.645366	0.004985	{'k': 7, 'T': 0.7000000000000001}
0.616316	0.850231	0.003989	{'k': 7, 'T': 0.7000000000000001}
0.524995	0.828030	0.004992	{'k': 9, 'T': 0.7000000000000001}
0.260050	0.672696	0.003989	{'k': 9, 'T': 0.8}
0.459336	0.738163	0.002989	{'k': 5, 'T': 0.6}
0.576824	0.903864	0.002992	{'k': 5, 'T': 0.8}
0.281535	0.693413	0.004988	{'k': 9, 'T': 0.8}
0.386984	0.752572	0.003964	{'k': 7, 'T': 0.6}
0.467848	0.829941	0.003989	{'k': 7, 'T': 0.8}
0.289647	0.648693	0.002993	{'k': 5, 'T': 0.6}
0.368843	0.705098	0.002992	{'k': 5, 'T': 0.8}
0.449441	0.862783	0.003981	{'k': 9, 'T': 0.8}
0.156243	0.708285	0.003989	{'k': 5, 'T': 0.6}
0.435270	0.745470	0.003989	{'k': 5, 'T': 1.0}
0.314608	0.725461	0.003989	{'k': 5, 'T': 0.8}
