AUPR	AUC	Time	Params
0.521785	0.828861	0.000997	{'k': 5, 'T': 0.6}
0.536589	0.792769	0.000000	{'k': 5, 'T': 0.6}
0.493782	0.850634	0.000997	{'k': 3, 'T': 0.4}
0.479422	0.779887	0.000997	{'k': 3, 'T': 0.30000000000000004}
0.752960	0.894468	0.000996	{'k': 3, 'T': 0.7000000000000001}
0.638992	0.943596	0.000998	{'k': 5, 'T': 0.4}
0.299047	0.803969	0.000997	{'k': 5, 'T': 0.7000000000000001}
0.556310	0.876967	0.000998	{'k': 5, 'T': 0.30000000000000004}
0.424675	0.837362	0.000998	{'k': 3, 'T': 0.5}
0.555800	0.833626	0.000000	{'k': 3, 'T': 0.8}
0.247746	0.710757	0.000997	{'k': 5, 'T': 0.4}
0.459927	0.878834	0.000000	{'k': 5, 'T': 0.8}
0.755791	0.931302	0.000998	{'k': 5, 'T': 0.4}
0.521578	0.851816	0.000997	{'k': 3, 'T': 0.1}
0.601160	0.865040	0.000998	{'k': 5, 'T': 0.6}
0.529847	0.779201	0.000999	{'k': 3, 'T': 0.8}
0.631849	0.843676	0.000000	{'k': 5, 'T': 0.6}
0.402346	0.808597	0.000998	{'k': 3, 'T': 0.30000000000000004}
0.611149	0.889445	0.000998	{'k': 9, 'T': 0.7000000000000001}
0.790093	0.921711	0.000997	{'k': 3, 'T': 0.30000000000000004}
