AUPR	AUC	Time	Params
0.698679	0.936891	0.001033	{'k': 7, 'T': 0.9}
0.745559	0.909833	0.001995	{'k': 5, 'T': 0.9}
0.790592	0.912102	0.001996	{'k': 5, 'T': 0.7000000000000001}
0.926410	0.976213	0.001994	{'k': 7, 'T': 0.9}
0.847422	0.938841	0.002021	{'k': 9, 'T': 0.9}
0.776168	0.908499	0.001993	{'k': 7, 'T': 0.8}
0.739418	0.918319	0.001994	{'k': 7, 'T': 0.8}
0.815623	0.946871	0.001024	{'k': 7, 'T': 0.8}
0.814900	0.912007	0.001994	{'k': 7, 'T': 0.9}
0.822198	0.958165	0.001023	{'k': 5, 'T': 0.9}
0.895818	0.966421	0.000998	{'k': 7, 'T': 0.9}
0.750197	0.911299	0.001993	{'k': 5, 'T': 0.8}
0.835459	0.934339	0.001994	{'k': 5, 'T': 0.9}
0.587901	0.851418	0.000997	{'k': 5, 'T': 0.8}
0.686080	0.940377	0.001993	{'k': 5, 'T': 0.7000000000000001}
0.825036	0.916833	0.001995	{'k': 7, 'T': 0.9}
0.835959	0.937917	0.000996	{'k': 5, 'T': 0.9}
0.885033	0.953049	0.001994	{'k': 7, 'T': 0.9}
0.747600	0.910696	0.000997	{'k': 5, 'T': 0.8}
0.750186	0.887912	0.000996	{'k': 5, 'T': 0.9}
