AUPR	AUC	Time	Params
0.061373	0.681529	0.004986	{'k': 7, 'T': 1.0}
0.134118	0.687500	0.004987	{'k': 9, 'T': 0.1}
0.081256	0.648551	0.004993	{'k': 5, 'T': 0.5}
0.168941	0.640136	0.005983	{'k': 5, 'T': 1.0}
0.109081	0.626111	0.004981	{'k': 3, 'T': 0.1}
0.173074	0.707450	0.003989	{'k': 9, 'T': 0.9}
0.212150	0.801843	0.004987	{'k': 9, 'T': 1.0}
0.207014	0.731027	0.005983	{'k': 9, 'T': 0.1}
0.303635	0.713580	0.004987	{'k': 5, 'T': 1.0}
0.319728	0.765101	0.005984	{'k': 9, 'T': 0.6}
0.219574	0.757604	0.004986	{'k': 5, 'T': 0.1}
0.187500	0.872340	0.004986	{'k': 9, 'T': 0.5}
0.243280	0.788099	0.005983	{'k': 9, 'T': 0.7000000000000001}
0.068942	0.677419	0.004986	{'k': 9, 'T': 0.30000000000000004}
0.064646	0.794326	0.004986	{'k': 9, 'T': 0.2}
0.063880	0.402222	0.004986	{'k': 9, 'T': 0.6}
0.140219	0.577944	0.004986	{'k': 7, 'T': 1.0}
0.111322	0.525840	0.004986	{'k': 5, 'T': 0.7000000000000001}
