AUPR	AUC	Time	Params
0.289484	0.627397	0.002021	{'k': 9, 'kr': 1, 'T': 0.8}
0.313871	0.868889	0.002007	{'k': 9, 'kr': 1, 'T': 0.9}
0.682939	0.980825	0.001994	{'k': 5, 'kr': 1, 'T': 0.8}
0.848626	0.975000	0.001994	{'k': 5, 'kr': 1, 'T': 0.6}
0.584502	0.850756	0.001995	{'k': 5, 'kr': 1, 'T': 0.8}
0.196959	0.779326	0.002965	{'k': 7, 'kr': 1, 'T': 0.5}
0.261781	0.585099	0.001027	{'k': 3, 'kr': 1, 'T': 0.9}
0.880952	0.979839	0.001994	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.446835	0.926075	0.001995	{'k': 5, 'kr': 1, 'T': 0.8}
0.554370	0.910569	0.002000	{'k': 7, 'kr': 1, 'T': 0.7000000000000001}
0.665625	0.926174	0.002020	{'k': 7, 'kr': 1, 'T': 0.6}
0.550890	0.956081	0.003018	{'k': 7, 'kr': 1, 'T': 0.5}
0.592120	0.947635	0.001996	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.529631	0.852038	0.002019	{'k': 9, 'kr': 1, 'T': 0.8}
0.509534	0.910861	0.001994	{'k': 7, 'kr': 1, 'T': 0.7000000000000001}
0.651538	0.952000	0.001996	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.207658	0.773750	0.002994	{'k': 7, 'kr': 1, 'T': 0.8}
0.837057	0.906762	0.002956	{'k': 5, 'kr': 1, 'T': 0.8}
0.651486	0.835634	0.002989	{'k': 9, 'kr': 1, 'T': 0.4}
0.334788	0.614760	0.001996	{'k': 7, 'kr': 1, 'T': 0.6}
