AUPR	AUC	Time	Params
0.517082	0.868552	0.009998	{'k': 5, 'kr': 1, 'T': 0.6}
0.576810	0.902293	0.010000	{'k': 5, 'kr': 1, 'T': 0.6}
0.539369	0.903914	0.006988	{'k': 3, 'kr': 1, 'T': 0.4}
0.486640	0.821195	0.009945	{'k': 3, 'kr': 1, 'T': 0.30000000000000004}
0.738026	0.927293	0.007001	{'k': 3, 'kr': 1, 'T': 0.7000000000000001}
0.662827	0.957004	0.009974	{'k': 5, 'kr': 1, 'T': 0.4}
0.308594	0.866422	0.009971	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.555224	0.871391	0.010945	{'k': 5, 'kr': 1, 'T': 0.30000000000000004}
0.471756	0.910293	0.006981	{'k': 3, 'kr': 1, 'T': 0.5}
0.655833	0.952908	0.007008	{'k': 3, 'kr': 1, 'T': 0.7000000000000001}
0.313505	0.886945	0.009994	{'k': 5, 'kr': 1, 'T': 0.5}
0.497822	0.900102	0.009985	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.768870	0.939900	0.009999	{'k': 5, 'kr': 1, 'T': 0.4}
0.544823	0.840011	0.006981	{'k': 3, 'kr': 1, 'T': 0.1}
0.641618	0.908202	0.009974	{'k': 5, 'kr': 1, 'T': 0.6}
0.663867	0.921499	0.010000	{'k': 5, 'kr': 1, 'T': 0.4}
0.688260	0.929291	0.009002	{'k': 5, 'kr': 1, 'T': 0.6}
0.416321	0.834392	0.006980	{'k': 3, 'kr': 1, 'T': 0.30000000000000004}
0.646931	0.930290	0.011969	{'k': 7, 'kr': 1, 'T': 0.6}
0.813162	0.968899	0.008004	{'k': 3, 'kr': 1, 'T': 0.4}
