AUPR	AUC	Time	Params
0.186725	0.765800	1.143938	{'k': 9, 'kr': 1, 'T': 0.9}
0.186801	0.709484	1.128951	{'k': 5, 'kr': 1, 'T': 1.0}
0.210890	0.719594	1.126958	{'k': 9, 'kr': 1, 'T': 0.9}
0.208612	0.818471	1.102024	{'k': 7, 'kr': 1, 'T': 0.9}
0.237087	0.808476	1.113050	{'k': 5, 'kr': 1, 'T': 1.0}
0.272003	0.801032	1.088087	{'k': 5, 'kr': 1, 'T': 0.9}
0.214237	0.773995	1.202808	{'k': 9, 'kr': 1, 'T': 0.9}
0.226952	0.723221	1.101086	{'k': 3, 'kr': 1, 'T': 0.9}
0.256542	0.723053	1.538882	{'k': 9, 'kr': 1, 'T': 0.9}
0.109310	0.674704	1.069168	{'k': 3, 'kr': 1, 'T': 1.0}
0.178560	0.685753	1.072163	{'k': 3, 'kr': 1, 'T': 1.0}
0.162842	0.678684	1.075152	{'k': 3, 'kr': 1, 'T': 1.0}
0.138738	0.717870	1.140948	{'k': 9, 'kr': 1, 'T': 0.9}
0.193950	0.718657	1.107038	{'k': 7, 'kr': 1, 'T': 0.8}
0.182715	0.734528	1.109063	{'k': 9, 'kr': 1, 'T': 0.8}
0.218316	0.781815	1.156905	{'k': 9, 'kr': 1, 'T': 0.8}
0.275081	0.808330	1.136985	{'k': 9, 'kr': 1, 'T': 0.8}
0.238152	0.779184	1.131973	{'k': 9, 'kr': 1, 'T': 0.9}
