AUPR	AUC	Time	Params
0.203536	0.810395	0.177557	{'k': 9, 'kr': 1, 'T': 1.0}
0.195875	0.741354	0.185503	{'k': 9, 'kr': 1, 'T': 0.1}
0.272117	0.763562	0.181513	{'k': 9, 'kr': 1, 'T': 1.0}
0.165543	0.702154	0.175558	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.117501	0.637694	0.175535	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.226489	0.739109	0.189492	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.279289	0.709296	0.181543	{'k': 7, 'kr': 1, 'T': 0.5}
0.224502	0.680066	0.182506	{'k': 9, 'kr': 1, 'T': 0.8}
0.244425	0.754601	0.185531	{'k': 9, 'kr': 1, 'T': 0.8}
0.145737	0.672001	0.183538	{'k': 9, 'kr': 1, 'T': 0.8}
0.124084	0.657887	0.191511	{'k': 9, 'kr': 1, 'T': 0.8}
0.130619	0.666631	0.188526	{'k': 7, 'kr': 1, 'T': 0.8}
0.237362	0.685962	0.195451	{'k': 7, 'kr': 1, 'T': 0.8}
0.259308	0.735411	0.166583	{'k': 5, 'kr': 1, 'T': 0.7000000000000001}
0.170424	0.644284	0.175532	{'k': 9, 'kr': 1, 'T': 0.7000000000000001}
0.292311	0.826786	0.177555	{'k': 9, 'kr': 1, 'T': 0.9}
0.397530	0.860907	0.179517	{'k': 9, 'kr': 1, 'T': 0.9}
0.289090	0.834365	0.193485	{'k': 9, 'kr': 1, 'T': 0.8}
